"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.507031250E4,2.716376690E-2
1.509375000E4,2.164138612E-2
1.511718750E4,2.337789470E-2
1.514062500E4,2.446416698E-2
1.516406250E4,2.765308014E-2
1.518750000E4,2.543065311E-2
1.521093750E4,2.619566641E-2
1.523437500E4,2.647406350E-2
1.525781250E4,2.669458145E-2
1.528125000E4,2.182784284E-2
1.530468750E4,1.666099452E-2
1.532812500E4,2.638863037E-2
1.535156250E4,2.289682610E-2
1.537500000E4,2.228643375E-2
1.539843750E4,2.084843258E-2
1.542187500E4,2.658225116E-2
1.544531250E4,2.480647655E-2
1.546875000E4,1.891003816E-2
1.549218750E4,2.521673672E-2
1.551562500E4,2.633133705E-2
1.553906250E4,2.272562287E-2
1.556250000E4,2.434650227E-2
1.558593750E4,2.688332850E-2
1.560937500E4,2.969083251E-2
1.563281250E4,2.600584743E-2
1.565625000E4,1.733768172E-2
1.567968750E4,2.774417840E-2
1.570312500E4,2.624708694E-2
1.572656250E4,2.515778018E-2
1.575000000E4,2.151520988E-2
1.577343750E4,2.193120121E-2
1.579687500E4,2.674370811E-2
1.582031250E4,2.173212198E-2
1.584375000E4,3.230787205E-2
1.586718750E4,2.306683092E-2
1.589062500E4,1.888205381E-2
1.591406250E4,2.810715448E-2
1.593750000E4,2.478371798E-2
1.596093750E4,2.338264355E-2
1.598437500E4,2.769157379E-2
1.600781250E4,3.050772056E-2
1.603125000E4,2.252907512E-2
1.605468750E4,2.043767702E-2
1.607812500E4,2.625252586E-2
1.610156250E4,2.631707505E-2
1.612500000E4,2.276582757E-2
1.614843750E4,2.100627989E-2
1.617187500E4,3.149365533E-2
1.619531250E4,2.310877564E-2
1.621875000E4,2.185672827E-2
1.624218750E4,1.920212623E-2
1.626562500E4,2.661477277E-2
1.628906250E4,2.215551981E-2
1.631250000E4,3.106907301E-2
1.633593750E4,1.717657818E-2
1.635937500E4,2.573953413E-2
1.638281250E4,2.927530483E-2
1.640625000E4,1.413553479E-2
1.642968750E4,2.693922701E-2
1.645312500E4,2.560090405E-2
1.647656250E4,2.613590448E-2
1.650000000E4,1.861179177E-2
1.652343750E4,2.320310339E-2
1.654687500E4,3.958538915E-2
1.657031250E4,1.072065044E-2
1.659375000E4,2.378115572E-2
1.661718750E4,1.897476583E-2
1.664062500E4,2.755474401E-2
1.666406250E4,2.348138372E-2
1.668750000E4,2.359151512E-2
1.671093750E4,2.744298424E-2
1.673437500E4,2.069164287E-2
1.675781250E4,1.516792810E-2
1.678125000E4,3.343519881E-2
1.680468750E4,2.198434396E-2
1.682812500E4,2.424321717E-2
1.685156250E4,1.844991273E-2
1.687500000E4,3.080163593E-2
1.689843750E4,1.273883223E-2
1.692187500E4,2.832173978E-2
1.694531250E4,1.203686250E-2
1.696875000E4,2.074111979E-2
1.699218750E4,2.393732642E-2
1.701562500E4,1.764682888E-2
1.703906250E4,2.390951673E-2
1.706250000E4,1.855062932E-2
1.708593750E4,2.160232500E-2
1.710937500E4,2.424563692E-2
1.713281250E4,2.341589089E-2
1.715625000E4,1.977761785E-2
1.717968750E4,2.089123462E-2
1.720312500E4,2.363448474E-2
1.722656250E4,2.080049079E-2
1.725000000E4,2.732411930E-2
1.727343750E4,2.232552394E-2
1.729687500E4,2.415401475E-2
1.732031250E4,2.910514248E-2
1.734375000E4,2.128417865E-2
1.736718750E4,1.740822300E-2
1.739062500E4,2.307913637E-2
1.741406250E4,1.920030419E-2
1.743750000E4,1.931834759E-2
1.746093750E4,2.796590596E-2
1.748437500E4,2.428857535E-2
1.750781250E4,2.173310922E-2
1.753125000E4,2.429019772E-2
1.755468750E4,2.204409893E-2
1.757812500E4,1.975190648E-2
1.760156250E4,1.970776958E-2
1.762500000E4,2.626914060E-2
1.764843750E4,2.197904219E-2
1.767187500E4,2.395897627E-2
1.769531250E4,2.092889398E-2
1.771875000E4,2.461934063E-2
1.774218750E4,1.825892170E-2
1.776562500E4,2.163509314E-2
1.778906250E4,1.920051800E-2
1.781250000E4,1.848245258E-2
1.783593750E4,2.142354972E-2
1.785937500E4,2.280430627E-2
1.788281250E4,2.209544050E-2
1.790625000E4,2.321171261E-2
1.792968750E4,2.636325307E-2
1.795312500E4,2.709617838E-2
1.797656250E4,1.676123557E-2
1.800000000E4,2.798117104E-2
1.802343750E4,2.127937175E-2
1.804687500E4,1.998565030E-2
1.807031250E4,1.646870698E-2
1.809375000E4,1.828983987E-2
1.811718750E4,2.281641124E-2
1.814062500E4,2.336942203E-2
1.816406250E4,2.503217559E-2
1.818750000E4,2.223449216E-2
1.821093750E4,1.928148573E-2
1.823437500E4,2.168621264E-2
1.825781250E4,2.273459303E-2
1.828125000E4,2.722779915E-2
1.830468750E4,1.884149863E-2
1.832812500E4,2.212462114E-2
1.835156250E4,2.199362355E-2
1.837500000E4,1.887116403E-2
1.839843750E4,2.011703115E-2
1.842187500E4,2.316044892E-2
1.844531250E4,2.136084159E-2
1.846875000E4,2.136521689E-2
1.849218750E4,2.169726478E-2
1.851562500E4,2.135101755E-2
1.853906250E4,2.184258851E-2
1.856250000E4,1.926303915E-2
1.858593750E4,2.365254819E-2
1.860937500E4,1.658234647E-2
1.863281250E4,2.085707028E-2
1.865625000E4,2.424452545E-2
1.867968750E4,2.445973037E-2
1.870312500E4,2.318294968E-2
1.872656250E4,1.771581513E-2
1.875000000E4,2.193112700E-2
1.877343750E4,2.241656216E-2
1.879687500E4,1.798922697E-2
1.882031250E4,2.081688281E-2
1.884375000E4,1.917379841E-2
1.886718750E4,1.947795330E-2
1.889062500E4,1.962378943E-2
1.891406250E4,1.680071636E-2
1.893750000E4,1.949365976E-2
1.896093750E4,2.016798515E-2
1.898437500E4,1.989000200E-2
1.900781250E4,2.551618974E-2
